,,,,,
Theme: Society,,,,,
Subject: Environment,,,,,
Topic: Air Quality and Climate,,,,,
"Table Title: Air Pollution Levels, Annual",,,,,
,,,,,
Data last updated: 12/05/2023,,,,,
Source: NATIONAL ENVIRONMENT AGENCY,,,,,
,,,,,
,,,,,
Data Series,Sulphur Dioxide (Maximum 24-Hour Mean) ,Nitrogen Dioxide (Annual Mean) ,Nitrogen Dioxide (Maximum 1-Hour Mean) ,Carbon Monoxide (Maximum 8-Hour Mean) ,Ozone (Maximum 8-Hour Mean) 
  2022,37,25,128,1.7,124
  2021,89,25,123,1.2,176
  2020,30,20,118,1.2,145
  2019,57,23,156,1.7,125
  2018,65,26,147,2,150
  2017,59,25,158,1.7,191
  2016,61,26,123,2.2,115
  2015,75,22,99,3.3,152
  2014,83,24,121,1.8,135
  2013,75,25,132,5.5,139
  2012,98,25,154,1.9,122
  2011,80,25,189,2,123
  2010,104,23,153,2.4,139
  2009,93,22,147,1.9,105
  2008,80,22,126,1.6,183
  2007,84,22,177,1.7,206
,,,,,
Footnotes:,,,,,
Sulphur Dioxide (Maximum 24-Hour Mean) (Microgram Per Cubic Metre):,,,,,
"Singapore's Air Quality Targets by 2020 - World Health Organisation (WHO) Interim Target-2: Sulphur Dioxide <= 50 g/cubic metre (24-hour mean).",,,,,
Nitrogen Dioxide (Annual Mean) (Microgram Per Cubic Metre):,,,,,
"Singapore's Air Quality Targets by 2020 - WHO Air Quality Guideline: Nitrogen Dioxide <= 40 g/cubic metre (annual mean).",,,,,
Nitrogen Dioxide (Maximum 1-Hour Mean) (Microgram Per Cubic Metre):,,,,,
"Singapore's Air Quality Targets by 2020 - WHO Air Quality Guideline: Nitrogen Dioxide <= 200 g/cubic metre (1-hour mean).",,,,,
Carbon Monoxide (Maximum 8-Hour Mean) (Milligram Per Cubic Metre):,,,,,
"Singapore's Air Quality Targets by 2020 - WHO Air Quality Guideline: Carbon Monoxide <= 10 mg/cubic metre (8-hour mean).  Carbon Monoxide levels in 2013 and 2015 were severely affected by transboundary smoke haze from overseas land and forest fires.",,,,,
Ozone (Maximum 8-Hour Mean) (Microgram Per Cubic Metre):,,,,,
"Singapore's Air Quality Targets by 2020 - WHO Air Quality Guideline: Ozone <= 100 g/cubic metre (Maximum 8-hour mean).",,,,,
,,,,,
Notation:,,,,,
na   not available or not applicable,,,,,
nec  not elsewhere classified,,,,,
nes  not elsewhere specified,,,,,
 -     nil or negligible or not significant,,,,,
Notes,,,,,
Numbers may not add up to the totals due to rounding.,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,
,,,,,
Generated by: SingStat Table Builder,,,,,
Date generated: 05/02/2024,,,,,
Contact: info@singstat.gov.sg,,,,,
